      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm
          0.402          9.031          6.351         -0.593
          0.404          8.707          6.351         -0.602
          0.406          8.368          6.351         -0.612
          0.407          8.047          6.352         -0.620
          0.409          7.730          6.352         -0.628
          0.411          7.415          6.352         -0.637
          0.413          7.104          6.353         -0.644
          0.415          6.797          6.353         -0.652
          0.417          6.494          6.353         -0.660
          0.419          6.196          6.354         -0.667
          0.421          5.887          6.354         -0.674
          0.423          5.599          6.354         -0.681
          0.425          5.317          6.355         -0.688
          0.427          5.041          6.355         -0.695
          0.428          4.771          6.355         -0.701
          0.430          4.508          6.356         -0.707
          0.432          4.251          6.356         -0.713
          0.434          3.988          6.356         -0.719
          0.436          3.745          6.357         -0.725
          0.438          3.510          6.357         -0.730
          0.440          3.281          6.357         -0.736
          0.442          3.060          6.358         -0.741
          0.444          2.846          6.358         -0.746
          0.446          2.640          6.358         -0.751
          0.448          2.441          6.359         -0.755
          0.450          2.240          6.359         -0.760
          0.452          2.056          6.360         -0.764
          0.453          1.880          6.360         -0.769
          0.455          1.711          6.360         -0.773
          0.457          1.550          6.361         -0.777
          0.459          1.396          6.361         -0.780
          0.461          1.248          6.361         -0.784
          0.463          1.108          6.362         -0.787
          0.465          0.968          6.362         -0.791
          0.467          0.842          6.363         -0.794
          0.469          0.722          6.363         -0.797
          0.471          0.609          6.363         -0.800
          0.472          0.503          6.364         -0.803
          0.474          0.402          6.364         -0.806
          0.476          0.308          6.364         -0.808
          0.478          0.219          6.365         -0.810
          0.480          0.132          6.365         -0.813
          0.482          0.055          6.366         -0.815
          0.484         -0.017          6.366         -0.817
          0.486         -0.083          6.366         -0.819
          0.488         -0.144          6.367         -0.821
          0.490         -0.201          6.367         -0.823
          0.492         -0.253          6.367         -0.824
          0.493         -0.300          6.368         -0.826
          0.495         -0.345          6.368         -0.827
          0.497         -0.383          6.369         -0.828
          0.499         -0.418          6.369         -0.829
          0.501         -0.448          6.369         -0.830
          0.503         -0.475          6.370         -0.831
          0.505         -0.498          6.370         -0.832
          0.507         -0.518          6.371         -0.833
          0.509         -0.535          6.371         -0.834
          0.511         -0.548          6.371         -0.834
          0.513         -0.558          6.372         -0.834
          0.515         -0.565          6.372         -0.835
          0.518         -0.571          6.373         -0.835
          0.520         -0.570          6.374         -0.835
          0.522         -0.567          6.374         -0.835
          0.524         -0.561          6.374         -0.835
          0.526         -0.553          6.375         -0.835
          0.528         -0.543          6.375         -0.834
          0.530         -0.532          6.376         -0.834
          0.534         -0.503          6.377         -0.833
          0.536         -0.485          6.377         -0.832
          0.537         -0.467          6.377         -0.831
          0.539         -0.445          6.378         -0.831
          0.543         -0.401          6.379         -0.829
          0.545         -0.377          6.379         -0.827
          0.547         -0.351          6.380         -0.826
          0.549         -0.325          6.380         -0.825
          0.553         -0.267          6.381         -0.822
          0.555         -0.238          6.381         -0.821
          0.557         -0.207          6.382         -0.819
          0.559         -0.176          6.382         -0.818
          0.562         -0.111          6.383         -0.814
          0.564         -0.078          6.384         -0.812
          0.566         -0.044          6.384         -0.810
          0.570          0.027          6.385         -0.806
          0.572          0.062          6.385         -0.804
          0.576          0.134          6.386         -0.800
          0.578          0.171          6.387         -0.797
          0.580          0.208          6.387         -0.795
          0.584          0.284          6.388         -0.790
          0.585          0.322          6.389         -0.787
          0.589          0.397          6.390         -0.782
          0.591          0.435          6.390         -0.779
          0.595          0.511          6.391         -0.773
          0.597          0.552          6.392         -0.770
          0.601          0.628          6.393         -0.764
          0.603          0.667          6.393         -0.761
          0.606          0.743          6.394         -0.755
          0.608          0.781          6.394         -0.751
          0.612          0.857          6.395         -0.745
          0.614          0.896          6.396         -0.741
          0.618          0.971          6.397         -0.734
          0.620          1.011          6.398         -0.730
          0.623          1.071          6.398         -0.724
          0.626          1.132          6.399         -0.718
          0.629          1.193          6.400         -0.711
          0.633          1.253          6.401         -0.704
          0.636          1.313          6.402         -0.698
          0.639          1.373          6.403         -0.691
          0.642          1.432          6.404         -0.683
          0.646          1.491          6.404         -0.676
          0.649          1.550          6.405         -0.668
          0.652          1.607          6.406         -0.660
          0.656          1.665          6.407         -0.652
          0.659          1.722          6.408         -0.644
          0.663          1.777          6.409         -0.635
          0.667          1.833          6.410         -0.626
          0.670          1.886          6.411         -0.617
          0.674          1.938          6.412         -0.608
          0.677          1.989          6.413         -0.598
          0.681          2.038          6.415         -0.588
