      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm
          1.770        -18.752        -24.855        -19.006
          1.780        -18.531        -24.565        -18.782
          1.790        -18.314        -24.280        -18.562
          1.800        -18.100        -24.000        -18.345
          1.810        -17.889        -23.725        -18.132
          1.820        -17.683        -23.454        -17.923
          1.830        -17.479        -23.187        -17.716
          1.840        -17.279        -22.925        -17.514
          1.850        -17.082        -22.667        -17.314
          1.860        -16.888        -22.413        -17.118
          1.870        -16.698        -22.163        -16.925
          1.880        -16.510        -21.918        -16.735
          1.890        -16.325        -21.676        -16.548
          1.900        -16.144        -21.438        -16.364
          1.910        -15.965        -21.203        -16.182
          1.920        -15.789        -20.973        -16.004
          1.930        -15.615        -20.746        -15.828
          1.940        -15.445        -20.522        -15.656
          1.950        -15.276        -20.302        -15.485
          1.960        -15.111        -20.085        -15.318
          1.970        -14.948        -19.871        -15.152
          1.980        -14.787        -19.661        -14.990
          1.990        -14.629        -19.454        -14.830
          2.000        -14.473        -19.250        -14.672
          2.010        -14.320        -19.049        -14.516
          2.020        -14.169        -18.851        -14.363
          2.030        -14.020        -18.656        -14.212
          2.040        -13.873        -18.464        -14.064
          2.050        -13.728        -18.274        -13.917
          2.060        -13.586        -18.088        -13.773
          2.070        -13.445        -17.904        -13.630
          2.080        -13.307        -17.722        -13.490
          2.090        -13.170        -17.544        -13.352
          2.100        -13.036        -17.367        -13.216
          2.110        -12.903        -17.194        -13.081
          2.120        -12.772        -17.022        -12.949
          2.130        -12.643        -16.854        -12.818
          2.140        -12.516        -16.687        -12.689
          2.150        -12.391        -16.523        -12.562
          2.160        -12.267        -16.361        -12.437
          2.170        -12.145        -16.201        -12.314
          2.180        -12.025        -16.044        -12.192
          2.190        -11.906        -15.889        -12.072
          2.200        -11.789        -15.736        -11.953
          2.210        -11.674        -15.584        -11.836
          2.220        -11.560        -15.435        -11.721
          2.230        -11.448        -15.288        -11.607
          2.240        -11.337        -15.143        -11.495
          2.250        -11.228        -15.000        -11.384
          2.260        -11.120        -14.859        -11.275
          2.270        -11.013        -14.719        -11.167
          2.280        -10.908        -14.582        -11.061
          2.290        -10.804        -14.446        -10.956
          2.300        -10.702        -14.312        -10.852
          2.310        -10.601        -14.180        -10.750
          2.320        -10.501        -14.049        -10.649
          2.330        -10.403        -13.920        -10.549
          2.340        -10.306        -13.793        -10.450
          2.350        -10.210        -13.667        -10.353
          2.360        -10.115        -13.543        -10.257
          2.370        -10.021        -13.421        -10.162
          2.380         -9.929        -13.300        -10.069
          2.390         -9.838        -13.180         -9.977
          2.400         -9.748        -13.062         -9.885
          2.410         -9.659        -12.946         -9.795
          2.420         -9.571        -12.831         -9.706
          2.430         -9.484        -12.717         -9.618
