      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm
          0.406         20.468          0.227         15.220
          0.407         20.425          0.228         15.132
          0.409         20.372          0.229         15.045
          0.411         20.310          0.230         14.959
          0.413         20.238          0.231         14.874
          0.415         20.157          0.232         14.789
          0.417         20.067          0.233         14.705
          0.419         19.969          0.234         14.622
          0.421         19.857          0.236         14.535
          0.423         19.742          0.237         14.453
          0.425         19.619          0.238         14.371
          0.427         19.489          0.239         14.291
          0.428         19.353          0.240         14.211
          0.430         19.209          0.241         14.131
          0.432         19.059          0.242         14.053
          0.434         18.895          0.243         13.970
          0.436         18.734          0.244         13.893
          0.438         18.567          0.245         13.816
          0.440         18.396          0.247         13.740
          0.442         18.220          0.248         13.664
          0.444         18.041          0.249         13.589
          0.446         17.857          0.250         13.514
          0.448         17.671          0.251         13.440
          0.450         17.471          0.252         13.363
          0.452         17.279          0.253         13.290
          0.453         17.085          0.254         13.217
          0.455         16.888          0.255         13.146
          0.457         16.690          0.257         13.074
          0.459         16.491          0.258         13.004
          0.461         16.291          0.259         12.933
          0.463         16.090          0.260         12.864
          0.465         15.878          0.261         12.791
          0.467         15.677          0.262         12.722
          0.469         15.475          0.263         12.654
          0.471         15.274          0.264         12.586
          0.472         15.073          0.265         12.519
          0.474         14.873          0.267         12.452
          0.476         14.674          0.268         12.386
          0.478         14.476          0.269         12.320
          0.480         14.269          0.270         12.252
          0.482         14.074          0.271         12.187
          0.484         13.880          0.272         12.122
          0.486         13.688          0.273         12.059
          0.488         13.498          0.274         11.995
          0.490         13.310          0.275         11.932
          0.492         13.123          0.277         11.869
          0.493         12.939          0.278         11.807
          0.495         12.748          0.279         11.742
          0.497         12.568          0.280         11.681
          0.499         12.391          0.281         11.620
          0.501         12.216          0.282         11.560
          0.503         12.043          0.283         11.500
          0.505         11.873          0.284         11.440
          0.507         11.706          0.286         11.381
          0.509         11.532          0.287         11.319
          0.511         11.370          0.288         11.260
          0.513         11.210          0.289         11.202
          0.515         11.053          0.290         11.145
          0.518         10.747          0.292         11.030
          0.520         10.598          0.293         10.974
          0.522         10.444          0.295         10.915
          0.524         10.300          0.296         10.859
          0.526         10.159          0.297         10.803
          0.528         10.020          0.298         10.748
          0.530          9.884          0.299         10.694
          0.534          9.620          0.301         10.585
          0.536          9.491          0.302         10.532
          0.537          9.365          0.304         10.478
          0.539          9.236          0.305         10.422
          0.543          8.997          0.307         10.318
          0.545          8.881          0.308         10.266
          0.547          8.767          0.309         10.214
          0.549          8.656          0.310         10.163
          0.553          8.435          0.313         10.058
          0.555          8.330          0.314         10.008
          0.557          8.228          0.315          9.958
          0.559          8.128          0.316          9.908
          0.562          7.935          0.318          9.809
          0.564          7.842          0.319          9.761
          0.566          7.750          0.321          9.712
          0.570          7.569          0.323          9.613
          0.572          7.483          0.324          9.566
          0.576          7.319          0.326          9.471
          0.578          7.239          0.327          9.424
          0.580          7.161          0.329          9.378
          0.584          7.007          0.331          9.283
          0.585          6.935          0.332          9.237
          0.589          6.795          0.334          9.147
          0.591          6.728          0.336          9.102
          0.595          6.598          0.338          9.013
          0.597          6.532          0.339          8.966
          0.601          6.412          0.341          8.879
          0.603          6.354          0.342          8.836
          0.606          6.243          0.345          8.750
          0.608          6.189          0.346          8.707
          0.612          6.086          0.348          8.623
          0.614          6.034          0.349          8.578
          0.618          5.940          0.352          8.495
          0.620          5.892          0.353          8.452
          0.623          5.821          0.355          8.385
          0.626          5.750          0.357          8.317
