      freq (eV)         Mostep         Lor-Dr      Bren-Borm
          0.510          0.033         10.536         11.265
          0.510          0.136          0.668          0.001
          0.510          0.002          0.035          0.012
          0.510          0.106          0.186          0.007
          0.510          0.004          0.013          0.000
          0.510          0.007          0.000          0.000
          0.520          0.034          9.677         10.962
          0.520          0.138          0.706          0.001
          0.520          0.002          0.036          0.012
          0.520          0.108          0.190          0.007
          0.520          0.004          0.013          0.000
          0.520          0.007          0.000          0.000
          0.530          0.035          8.888         10.670
          0.530          0.141          0.746          0.001
          0.530          0.002          0.037          0.012
          0.530          0.111          0.194          0.007
          0.530          0.004          0.013          0.000
          0.530          0.007          0.000          0.000
          0.540          0.035          8.166         10.387
          0.540          0.144          0.789          0.001
          0.540          0.002          0.037          0.012
          0.540          0.113          0.197          0.008
          0.540          0.004          0.014          0.000
          0.540          0.007          0.000          0.000
          0.550          0.036          7.510         10.114
          0.550          0.147          0.835          0.001
          0.550          0.002          0.038          0.013
          0.550          0.115          0.201          0.008
          0.550          0.004          0.014          0.000
          0.550          0.007          0.000          0.000
          0.560          0.037          6.914          9.849
          0.560          0.150          0.884          0.001
          0.560          0.002          0.039          0.013
          0.560          0.117          0.205          0.008
          0.560          0.005          0.014          0.000
          0.560          0.007          0.000          0.000
          0.570          0.038          6.373          9.593
          0.570          0.153          0.937          0.002
          0.570          0.002          0.040          0.013
          0.570          0.119          0.209          0.008
          0.570          0.005          0.014          0.000
          0.570          0.007          0.000          0.000
          0.580          0.038          5.884          9.345
          0.580          0.155          0.993          0.002
          0.580          0.002          0.040          0.014
          0.580          0.121          0.213          0.008
          0.580          0.005          0.015          0.000
          0.580          0.008          0.000          0.000
          0.590          0.039          5.440          9.104
          0.590          0.158          1.053          0.002
          0.590          0.002          0.041          0.014
          0.590          0.123          0.217          0.008
          0.590          0.005          0.015          0.000
          0.590          0.008          0.000          0.000
          0.600          0.040          5.038          8.871
          0.600          0.161          1.118          0.002
          0.600          0.002          0.042          0.014
          0.600          0.125          0.221          0.008
          0.600          0.005          0.015          0.000
          0.600          0.008          0.000          0.000
          0.610          0.041          4.673          8.644
          0.610          0.164          1.186          0.002
          0.610          0.002          0.043          0.015
          0.610          0.127          0.225          0.009
          0.610          0.005          0.015          0.000
          0.610          0.008          0.000          0.000
          0.620          0.041          4.342          8.424
          0.620          0.167          1.260          0.002
          0.620          0.002          0.044          0.015
          0.620          0.130          0.229          0.009
          0.620          0.005          0.016          0.000
          0.620          0.008          0.000          0.000
          0.630          0.042          4.041          8.211
          0.630          0.170          1.338          0.002
          0.630          0.002          0.045          0.016
          0.630          0.132          0.233          0.009
          0.630          0.005          0.016          0.000
          0.630          0.008          0.000          0.000
          0.640          0.043          3.767          8.004
          0.640          0.173          1.420          0.002
          0.640          0.002          0.045          0.016
          0.640          0.134          0.237          0.009
          0.640          0.005          0.016          0.000
          0.640          0.008          0.000          0.000
          0.650          0.044          3.517          7.802
          0.650          0.176          1.508          0.002
          0.650          0.002          0.046          0.016
          0.650          0.136          0.241          0.009
          0.650          0.005          0.016          0.000
          0.650          0.008          0.000          0.000
          0.660          0.045          3.288          7.607
          0.660          0.179          1.600          0.002
          0.660          0.002          0.047          0.017
          0.660          0.138          0.245          0.009
          0.660          0.005          0.017          0.000
          0.660          0.009          0.000          0.000
          0.670          0.045          3.079          7.416
          0.670          0.182          1.698          0.002
          0.670          0.002          0.048          0.017
          0.670          0.140          0.249          0.010
          0.670          0.005          0.017          0.000
          0.670          0.009          0.000          0.000
          0.680          0.046          2.888          7.231
          0.680          0.185          1.799          0.002
          0.680          0.002          0.049          0.018
          0.680          0.142          0.253          0.010
          0.680          0.005          0.017          0.000
          0.680          0.009          0.000          0.000
          0.690          0.047          2.712          7.051
          0.690          0.188          1.904          0.002
          0.690          0.002          0.050          0.018
          0.690          0.144          0.257          0.010
          0.690          0.006          0.017          0.000
          0.690          0.009          0.000          0.000
          0.700          0.048          2.551          6.876
          0.700          0.191          2.012          0.002
          0.700          0.002          0.051          0.018
          0.700          0.147          0.261          0.010
          0.700          0.006          0.018          0.000
          0.700          0.009          0.000          0.000
          0.710          0.049          2.402          6.705
          0.710          0.194          2.121          0.002
          0.710          0.002          0.051          0.019
          0.710          0.149          0.265          0.010
          0.710          0.006          0.018          0.000
          0.710          0.009          0.000          0.000
          0.720          0.049          2.265          6.539
          0.720          0.197          2.231          0.002
          0.720          0.002          0.052          0.019
          0.720          0.151          0.269          0.010
          0.720          0.006          0.018          0.000
          0.720          0.009          0.000          0.000
          0.730          0.050          2.138          6.377
          0.730          0.200          2.340          0.002
          0.730          0.002          0.053          0.020
          0.730          0.153          0.273          0.011
          0.730          0.006          0.018          0.000
          0.730          0.010          0.000          0.000
          0.740          0.051          2.021          6.220
          0.740          0.203          2.445          0.002
          0.740          0.002          0.054          0.020
          0.740          0.155          0.277          0.011
          0.740          0.006          0.019          0.000
          0.740          0.010          0.000          0.000
          0.750          0.052          1.912          6.066
          0.750          0.206          2.544          0.002
          0.750          0.002          0.055          0.021
          0.750          0.157          0.281          0.011
          0.750          0.006          0.019          0.000
          0.750          0.010          0.000          0.000
          0.760          0.053          1.811          5.916
          0.760          0.209          2.635          0.002
          0.760          0.003          0.056          0.021
          0.760          0.159          0.285          0.011
          0.760          0.006          0.019          0.000
          0.760          0.010          0.000          0.000
          0.770          0.054          1.718          5.770
          0.770          0.212          2.715          0.002
          0.770          0.003          0.057          0.022
          0.770          0.161          0.289          0.011
          0.770          0.006          0.019          0.000
          0.770          0.010          0.000          0.000
          0.780          0.055          1.631          5.628
          0.780          0.215          2.781          0.002
          0.780          0.003          0.058          0.022
          0.780          0.164          0.294          0.012
          0.780          0.006          0.020          0.000
          0.780          0.010          0.000          0.000
          0.790          0.056          1.550          5.490
          0.790          0.218          2.832          0.002
          0.790          0.003          0.059          0.023
          0.790          0.166          0.298          0.012
          0.790          0.006          0.020          0.000
          0.790          0.010          0.000          0.000
          0.800          0.056          1.474          5.354
          0.800          0.221          2.864          0.002
          0.800          0.003          0.060          0.024
          0.800          0.168          0.302          0.012
          0.800          0.006          0.020          0.000
          0.800          0.010          0.000          0.000
          0.810          0.057          1.403          5.222
          0.810          0.225          2.878          0.002
          0.810          0.003          0.061          0.024
          0.810          0.170          0.306          0.012
          0.810          0.007          0.021          0.000
          0.810          0.011          0.000          0.000
          0.820          0.058          1.337          5.094
