      freq (eV)         Mostep         Lor-Dr      Bren-Borm
          0.109          0.763         11.886         10.391
          0.109          2.409          1.201          0.514
          0.109          0.093          0.658          1.792
          0.109          2.141          2.647          1.811
          0.109          0.244          2.015          0.174
          0.109          0.670          0.000          0.000
          0.111          0.763         11.905          9.891
          0.111          2.409          1.201          0.514
          0.111          0.093          0.658          1.792
          0.111          2.141          2.647          1.811
          0.111          0.244          2.015          0.174
          0.111          0.670          0.000          0.000
          0.113          0.763         11.924          9.435
          0.113          2.409          1.202          0.514
          0.113          0.093          0.658          1.792
          0.113          2.141          2.647          1.811
          0.113          0.244          2.015          0.174
          0.113          0.670          0.000          0.000
          0.115          0.763         11.943          8.996
          0.115          2.409          1.203          0.514
          0.115          0.093          0.658          1.792
          0.115          2.141          2.647          1.811
          0.115          0.244          2.015          0.174
          0.115          0.670          0.000          0.000
          0.117          0.763         11.962          8.573
          0.117          2.409          1.203          0.514
          0.117          0.093          0.658          1.792
          0.117          2.141          2.647          1.811
          0.117          0.244          2.015          0.174
          0.117          0.670          0.000          0.000
          0.119          0.763         11.982          8.167
          0.119          2.409          1.204          0.514
          0.119          0.093          0.658          1.792
          0.119          2.141          2.647          1.811
          0.119          0.244          2.015          0.174
          0.119          0.670          0.000          0.000
          0.120          0.763         12.002          7.775
          0.120          2.409          1.205          0.514
          0.120          0.093          0.658          1.792
          0.120          2.141          2.647          1.811
          0.120          0.244          2.015          0.174
          0.120          0.670          0.000          0.000
          0.122          0.763         12.022          7.397
          0.122          2.409          1.205          0.514
          0.122          0.093          0.658          1.792
          0.122          2.141          2.647          1.811
          0.122          0.244          2.015          0.174
          0.122          0.670          0.000          0.000
          0.124          0.763         12.043          7.033
          0.124          2.409          1.206          0.514
          0.124          0.093          0.658          1.792
          0.124          2.141          2.647          1.811
          0.124          0.244          2.015          0.174
          0.124          0.670          0.000          0.000
          0.126          0.763         12.065          6.664
          0.126          2.409          1.207          0.514
          0.126          0.093          0.658          1.792
          0.126          2.141          2.647          1.811
          0.126          0.244          2.015          0.174
          0.126          0.670          0.000          0.000
          0.128          0.764         12.086          6.327
          0.128          2.409          1.207          0.514
          0.128          0.093          0.658          1.792
          0.128          2.141          2.647          1.811
          0.128          0.244          2.015          0.174
          0.128          0.670          0.000          0.000
          0.130          0.764         12.108          6.001
          0.130          2.409          1.208          0.514
          0.130          0.093          0.658          1.792
          0.130          2.141          2.647          1.811
          0.130          0.244          2.015          0.174
          0.130          0.670          0.000          0.000
          0.132          0.764         12.130          5.686
          0.132          2.409          1.209          0.514
          0.132          0.093          0.658          1.792
          0.132          2.141          2.647          1.811
          0.132          0.244          2.015          0.174
          0.132          0.670          0.000          0.000
          0.134          0.764         12.152          5.382
          0.134          2.409          1.210          0.514
          0.134          0.093          0.658          1.793
          0.134          2.141          2.647          1.811
          0.134          0.244          2.015          0.174
          0.134          0.670          0.000          0.000
          0.136          0.764         12.174          5.089
          0.136          2.409          1.210          0.514
          0.136          0.093          0.658          1.793
          0.136          2.141          2.647          1.811
          0.136          0.244          2.015          0.174
          0.136          0.670          0.000          0.000
          0.138          0.764         12.197          4.806
          0.138          2.409          1.211          0.514
          0.138          0.093          0.658          1.793
          0.138          2.141          2.647          1.811
          0.138          0.244          2.015          0.174
          0.138          0.670          0.000          0.000
          0.140          0.764         12.220          4.532
          0.140          2.409          1.212          0.514
          0.140          0.093          0.658          1.793
          0.140          2.141          2.647          1.811
          0.140          0.244          2.015          0.174
          0.140          0.670          0.000          0.000
          0.142          0.764         12.244          4.254
          0.142          2.410          1.213          0.514
          0.142          0.093          0.658          1.793
          0.142          2.141          2.647          1.811
          0.142          0.244          2.015          0.174
          0.142          0.670          0.000          0.000
          0.143          0.764         12.268          3.998
          0.143          2.410          1.213          0.515
          0.143          0.093          0.658          1.793
          0.143          2.141          2.647          1.811
          0.143          0.244          2.015          0.174
          0.143          0.670          0.000          0.000
          0.145          0.764         12.292          3.751
          0.145          2.410          1.214          0.515
          0.145          0.093          0.658          1.793
          0.145          2.141          2.647          1.811
          0.145          0.244          2.015          0.174
          0.145          0.670          0.000          0.000
          0.147          0.764         12.316          3.512
          0.147          2.410          1.215          0.515
          0.147          0.093          0.658          1.793
          0.147          2.141          2.648          1.811
          0.147          0.244          2.015          0.174
          0.147          0.670          0.000          0.000
          0.149          0.764         12.340          3.281
          0.149          2.410          1.216          0.515
          0.149          0.093          0.658          1.793
          0.149          2.141          2.648          1.811
          0.149          0.244          2.015          0.174
          0.149          0.670          0.000          0.000
          0.151          0.764         12.365          3.057
          0.151          2.410          1.217          0.515
          0.151          0.093          0.658          1.793
          0.151          2.141          2.648          1.812
          0.151          0.244          2.015          0.174
          0.151          0.670          0.000          0.000
          0.153          0.764         12.390          2.840
