      freq (eV)         re_eps         im_eps       re_aprox       im_aprox     kramers_re     kramers_im
          0.247         88.368        108.693          2.424          0.035          6.125         -0.487
          0.249         86.501        106.489          2.425          0.036          6.126         -0.491
          0.251         84.079        104.298          2.425          0.036          6.126         -0.495
          0.253         83.089        102.024          2.426          0.036          6.126         -0.499
          0.254         81.517         99.970          2.427          0.037          6.127         -0.503
          0.256         79.352         98.039          2.427          0.037          6.127         -0.506
          0.258         77.658         96.062          2.428          0.037          6.127         -0.510
          0.260         75.291         94.180          2.429          0.037          6.128         -0.514
          0.262         73.297         92.230          2.430          0.038          6.128         -0.518
          0.264         72.664         90.412          2.431          0.038          6.128         -0.522
          0.266         71.383         88.631          2.431          0.038          6.129         -0.526
          0.268         69.443         86.887          2.432          0.039          6.129         -0.530
          0.270         68.835         85.183          2.433          0.039          6.129         -0.533
          0.272         67.551         83.522          2.434          0.039          6.130         -0.537
          0.274         65.801         82.007          2.435          0.039          6.130         -0.541
          0.276         63.852         80.433          2.435          0.040          6.131         -0.545
          0.277         62.601         78.906          2.436          0.040          6.131         -0.549
          0.279         61.438         77.430          2.437          0.040          6.131         -0.553
          0.281         60.556         75.904          2.438          0.041          6.132         -0.557
          0.283         59.249         74.532          2.439          0.041          6.132         -0.561
          0.285         58.808         73.014          2.440          0.041          6.133         -0.564
          0.287         57.827         71.652          2.440          0.041          6.133         -0.568
          0.289         55.836         70.531          2.441          0.042          6.133         -0.572
          0.291         55.167         69.083          2.442          0.042          6.134         -0.576
          0.293         54.238         67.895          2.443          0.042          6.134         -0.580
          0.295         53.343         66.669          2.444          0.043          6.135         -0.584
          0.296         52.076         65.506          2.445          0.043          6.135         -0.588
          0.298         51.531         64.306          2.446          0.043          6.135         -0.592
          0.300         50.602         63.171          2.447          0.043          6.136         -0.595
          0.302         49.205         62.072          2.448          0.044          6.136         -0.600
          0.304         48.605         60.968          2.448          0.044          6.137         -0.603
          0.306         47.505         59.933          2.449          0.044          6.137         -0.607
          0.308         47.101         58.867          2.450          0.045          6.137         -0.611
          0.310         46.288         57.872          2.451          0.045          6.138         -0.615
          0.312         45.661         56.847          2.452          0.045          6.138         -0.619
          0.314         45.117         55.794          2.453          0.045          6.139         -0.623
          0.316         44.150         54.913          2.454          0.046          6.139         -0.627
          0.318         43.356         53.963          2.455          0.046          6.140         -0.631
          0.320         42.541         53.129          2.456          0.046          6.140         -0.635
          0.321         41.991         52.170          2.457          0.047          6.141         -0.639
          0.323         41.503         51.287          2.458          0.047          6.141         -0.642
          0.325         40.572         50.481          2.459          0.047          6.141         -0.646
          0.327         40.295         49.651          2.460          0.047          6.142         -0.650
          0.329         39.569         48.800          2.461          0.048          6.142         -0.654
          0.331         38.548         48.074          2.462          0.048          6.143         -0.658
          0.333         38.020         47.259          2.463          0.048          6.143         -0.662
          0.335         37.633         46.474          2.464          0.049          6.144         -0.666
          0.337         37.282         45.738          2.465          0.049          6.144         -0.670
          0.339         36.567         44.974          2.466          0.049          6.145         -0.674
          0.341         35.982         44.260          2.467          0.050          6.145         -0.678
          0.342         35.926         43.559          2.468          0.050          6.146         -0.682
          0.344         35.495         42.880          2.469          0.050          6.146         -0.686
          0.346         34.701         42.234          2.470          0.050          6.147         -0.690
          0.348         33.920         41.580          2.472          0.051          6.147         -0.694
          0.350         33.756         40.930          2.473          0.051          6.148         -0.697
          0.352         33.107         40.314          2.474          0.051          6.148         -0.701
          0.354         33.071         39.652          2.475          0.052          6.149         -0.705
          0.356         32.544         39.016          2.476          0.052          6.149         -0.709
          0.358         32.226         38.435          2.477          0.052          6.150         -0.713
          0.360         31.913         37.840          2.478          0.053          6.150         -0.717
          0.362         30.764         37.314          2.479          0.053          6.151         -0.721
          0.363         30.661         36.761          2.480          0.053          6.151         -0.725
          0.365         30.058         36.225          2.482          0.053          6.152         -0.729
          0.367         30.051         35.665          2.483          0.054          6.152         -0.733
          0.369         29.539         35.124          2.484          0.054          6.153         -0.737
          0.371         29.121         34.590          2.485          0.054          6.153         -0.741
          0.373         28.893         34.084          2.486          0.055          6.154         -0.745
          0.375         28.555         33.587          2.487          0.055          6.154         -0.749
          0.377         28.105         33.107          2.489          0.055          6.155         -0.753
          0.379         27.944         32.637          2.490          0.056          6.155         -0.757
          0.381         27.469         32.157          2.491          0.056          6.156         -0.761
          0.383         26.975         31.706          2.492          0.056          6.156         -0.765
