      freq (eV)         re_eps         im_eps       re_aprox       im_aprox     kramers_re     kramers_im
          5.601          1.651          4.079          1.753          4.092          0.923          3.263
          5.701          1.633          3.982          1.727          3.980          0.888          3.214
          5.800          1.598          3.896          1.703          3.869          0.861          3.168
          5.902          1.575          3.823          1.679          3.757          0.844          3.123
          6.002          1.565          3.705          1.659          3.651          0.839          3.081
          6.200          1.667          3.460          1.626          3.464          0.862          3.003
          6.359          1.662          3.324          1.608          3.347          0.904          2.947
          6.527          1.649          3.232          1.599          3.261          0.957          2.898
          6.703          1.657          3.187          1.599          3.212          1.008          2.862
          6.889          1.690          3.184          1.603          3.195          1.042          2.846
          7.086          1.718          3.205          1.603          3.201          1.047          2.856
          7.294          1.684          3.246          1.586          3.216          1.017          2.895
          7.516          1.525          3.300          1.531          3.225          0.952          2.957
          7.750          1.325          3.276          1.428          3.217          0.860          3.021
          8.000          1.140          3.209          1.274          3.184          0.751          3.060
          8.267          0.984          3.124          1.087          3.123          0.634          3.050
          8.552          0.843          3.016          0.898          3.036          0.521          2.981
          8.858          0.733          2.913          0.735          2.926          0.419          2.864
          8.921          0.715          2.889          0.707          2.902          0.401          2.837
          8.986          0.696          2.867          0.681          2.877          0.383          2.809
          9.052          0.678          2.843          0.656          2.852          0.366          2.781
          9.118          0.656          2.815          0.634          2.827          0.350          2.752
          9.186          0.634          2.796          0.612          2.801          0.335          2.723
          9.254          0.617          2.774          0.592          2.775          0.321          2.694
          9.324          0.605          2.745          0.574          2.749          0.307          2.665
          9.394          0.590          2.718          0.557          2.723          0.294          2.637
          9.466          0.573          2.695          0.541          2.696          0.283          2.608
          9.539          0.561          2.666          0.527          2.670          0.271          2.580
          9.613          0.543          2.650          0.513          2.643          0.261          2.552
          9.688          0.529          2.629          0.501          2.617          0.252          2.524
          9.764          0.517          2.601          0.489          2.591          0.243          2.498
          9.842          0.500          2.578          0.479          2.565          0.234          2.471
          9.920          0.486          2.553          0.469          2.540          0.227          2.446
         10.000          0.474          2.525          0.460          2.515          0.220          2.421
         10.080          0.458          2.502          0.452          2.491          0.213          2.397
         10.160          0.447          2.475          0.444          2.467          0.207          2.374
         10.250          0.436          2.445          0.436          2.442          0.201          2.350
         10.330          0.421          2.422          0.430          2.420          0.196          2.329
         10.420          0.409          2.395          0.423          2.396          0.190          2.308
         10.510          0.393          2.373          0.416          2.373          0.185          2.287
         10.600          0.388          2.347          0.410          2.351          0.180          2.268
         10.690          0.377          2.321          0.404          2.330          0.175          2.250
         10.780          0.359          2.304          0.397          2.309          0.170          2.233
         10.880          0.343          2.282          0.390          2.287          0.165          2.216
         10.970          0.331          2.263          0.383          2.268          0.160          2.202
         11.070          0.326          2.238          0.375          2.247          0.154          2.187
         11.170          0.322          2.218          0.366          2.226          0.149          2.172
         11.270          0.321          2.199          0.356          2.206          0.143          2.159
         11.380          0.316          2.178          0.345          2.185          0.137          2.145
         11.480          0.315          2.155          0.334          2.166          0.131          2.132
         11.590          0.316          2.138          0.320          2.145          0.124          2.118
         11.700          0.316          2.117          0.306          2.124          0.118          2.105
         11.810          0.314          2.104          0.291          2.104          0.111          2.091
         11.920          0.307          2.089          0.275          2.083          0.105          2.077
         12.040          0.303          2.068          0.257          2.061          0.098          2.061
         12.160          0.293          2.051          0.239          2.039          0.091          2.043
         12.280          0.285          2.032          0.220          2.017          0.084          2.025
         12.400          0.268          2.005          0.202          1.995          0.078          2.006
         12.530          0.241          1.977          0.182          1.971          0.071          1.985
         12.650          0.216          1.948          0.164          1.948          0.066          1.963
         12.780          0.188          1.925          0.145          1.924          0.060          1.939
         12.920          0.158          1.897          0.126          1.898          0.055          1.912
         13.050          0.125          1.867          0.109          1.875          0.052          1.887
         13.190          0.090          1.839          0.093          1.849          0.048          1.858
         13.330          0.058          1.813          0.078          1.824          0.046          1.829
         13.480          0.028          1.788          0.064          1.797          0.044          1.798
         13.630          0.004          1.761          0.052          1.771          0.044          1.767
         13.780         -0.022          1.739          0.042          1.746          0.044          1.736
         13.930         -0.045          1.712          0.033          1.721          0.046          1.706
         14.090         -0.070          1.687          0.025          1.695          0.049          1.675
         14.250         -0.090          1.663          0.019          1.671          0.053          1.645
         14.420         -0.110          1.642          0.014          1.646          0.058          1.614
         14.590         -0.122          1.623          0.010          1.622          0.064          1.584
         14.760         -0.137          1.602          0.007          1.600          0.072          1.556
         14.940         -0.147          1.586          0.005          1.578          0.080          1.528
         15.120         -0.155          1.567          0.004          1.558          0.090          1.501
         15.310         -0.159          1.548          0.002          1.538          0.101          1.474
         15.500         -0.159          1.532          0.002          1.521          0.113          1.448
         15.700         -0.161          1.518          0.001          1.504          0.126          1.423
         15.900         -0.156          1.501          0.001          1.490          0.140          1.398
         16.100         -0.147          1.482          0.000          1.477          0.154          1.375
         16.320         -0.143          1.469          0.000          1.467          0.170          1.351
         16.530         -0.132          1.454          0.000          1.459          0.186          1.329
         16.760         -0.120          1.447          0.000          1.454          0.204          1.305
         16.990         -0.110          1.438          0.000          1.452          0.221          1.283
         17.220         -0.094          1.439          0.000          1.454          0.239          1.262
         17.470         -0.073          1.442          0.000          1.462          0.258          1.240
         17.720         -0.046          1.458          0.000          1.474          0.275          1.218
         17.970         -0.028          1.480          0.000          1.493          0.290          1.198
         18.240         -0.003          1.521          0.000          1.519          0.302          1.177
         18.510          0.020          1.562          0.000          1.551          0.308          1.156
         18.790          0.039          1.596          0.000          1.591          0.306          1.136
         19.080          0.052          1.640          0.000          1.637          0.294          1.116
         19.380          0.021          1.689          0.000          1.685          0.267          1.096
         19.680         -0.024          1.730          0.000          1.732          0.225          1.077
         20.000         -0.077          1.765          0.000          1.775          0.165          1.057
         20.330         -0.150          1.803          0.000          1.806          0.089          1.037
         20.670         -0.233          1.810          0.000          1.820          0.000          1.018
         21.020         -0.328          1.801          0.000          1.812         -0.095          0.999
         21.380         -0.419          1.777          0.000          1.780         -0.190          0.980
         21.760         -0.507          1.737          0.000          1.726         -0.276          0.961
         22.140         -0.584          1.671          0.000          1.657         -0.344          0.943
         22.550         -0.644          1.596          0.000          1.575         -0.393          0.924
         22.960         -0.690          1.510          0.000          1.496         -0.420          0.906
         23.400         -0.692          1.415          0.000          1.422         -0.431          0.887
         23.850         -0.645          1.291          0.000          1.361         -0.429          0.869
         24.310         -0.606          1.195          0.000          1.313         -0.423          0.851
         24.800         -0.562          1.097          0.000          1.275         -0.418          0.833
         25.310         -0.518          1.015          0.000          1.244         -0.418          0.815
         25.830         -0.482          0.956          0.000          1.218         -0.422          0.797
         26.010         -0.538          1.217          0.000          1.209         -0.425          0.791
         26.380         -0.453          0.937          0.000          1.192         -0.431          0.780
         27.000         -0.491          1.137          0.000          1.164         -0.446          0.760
         28.000         -0.453          1.094          0.000          1.116         -0.473          0.732
         29.010         -0.444          1.084          0.000          1.065         -0.501          0.705
         29.500         -0.458          1.082          0.000          1.040         -0.514          0.692
         30.000         -0.487          1.070          0.000          1.014         -0.527          0.680
         30.510         -0.517          1.046          0.000          0.987         -0.540          0.668
         31.010         -0.547          1.014          0.000          0.960         -0.552          0.657
         32.010         -0.598          0.918          0.000          0.906         -0.573          0.636
         33.010         -0.581          0.804          0.000          0.852         -0.590          0.616
         34.010         -0.547          0.737          0.000          0.798         -0.604          0.597
         35.010         -0.514          0.687          0.000          0.745         -0.615          0.579
         36.010         -0.491          0.651          0.000          0.693         -0.622          0.562
         37.010         -0.473          0.616          0.000          0.642         -0.626          0.547
         38.000         -0.456          0.587          0.000          0.593         -0.626          0.532
         39.010         -0.443          0.560          0.000          0.545         -0.624          0.518
         40.010         -0.429          0.531          0.000          0.499         -0.619          0.505
         41.010         -0.414          0.507          0.000          0.456         -0.612          0.492
         42.010         -0.400          0.487          0.000          0.415         -0.603          0.480
         43.010         -0.390          0.471          0.000          0.377         -0.591          0.469
         44.000         -0.386          0.455          0.000          0.341         -0.579          0.458
         45.010         -0.385          0.435          0.000          0.307         -0.564          0.447
         46.010         -0.378          0.409          0.000          0.276         -0.549          0.437
         47.010         -0.366          0.385          0.000          0.247         -0.533          0.428
         48.010         -0.353          0.366          0.000          0.220         -0.516          0.419
         49.010         -0.338          0.350          0.000          0.196         -0.499          0.410
         50.000         -0.324          0.338          0.000          0.174         -0.482          0.402
         52.020         -0.302          0.319          0.000          0.135         -0.446          0.386
         54.010         -0.286          0.305          0.000          0.103         -0.412          0.372
         56.010         -0.271          0.293          0.000          0.078         -0.379          0.358
         58.000         -0.262          0.286          0.000          0.059         -0.348          0.346
         60.020         -0.259          0.280          0.000          0.043         -0.319          0.334
         62.000         -0.265          0.268          0.000          0.032         -0.293          0.323
         64.020         -0.267          0.252          0.000          0.023         -0.269          0.313
         66.030         -0.267          0.233          0.000          0.016         -0.247          0.303
         68.020         -0.267          0.212          0.000          0.011         -0.228          0.294
         70.020         -0.262          0.192          0.000          0.008         -0.211          0.286
         72.010         -0.251          0.172          0.000          0.005         -0.195          0.278
         74.030         -0.239          0.161          0.000          0.004         -0.181          0.270
         76.030         -0.231          0.152          0.000          0.002         -0.169          0.263
         78.040         -0.228          0.143          0.000          0.002         -0.158          0.256
         80.000         -0.222          0.132          0.000          0.001         -0.148          0.250
         82.010         -0.216          0.120          0.000          0.001         -0.139          0.244
         83.000         -0.211          0.115          0.000          0.001         -0.135          0.241
         83.510         -0.209          0.113          0.000          0.000         -0.133          0.239
         84.010         -0.204          0.112          0.000          0.000         -0.131          0.238
         84.530         -0.204          0.116          0.000          0.000         -0.129          0.236
         84.990         -0.206          0.115          0.000          0.000         -0.127          0.235
         86.000         -0.208          0.109          0.000          0.000         -0.124          0.232
         87.020         -0.206          0.102          0.000          0.000         -0.120          0.230
         87.510         -0.204          0.099          0.000          0.000         -0.119          0.228
         88.010         -0.202          0.098          0.000          0.000         -0.117          0.227
        100.000         -0.204          0.081          0.000          0.000         -0.087          0.200
        105.000         -0.184          0.064          0.000          0.000         -0.078          0.190
        110.000         -0.164          0.052          0.000          0.000         -0.071          0.181
        120.000         -0.132          0.033          0.000          0.000         -0.058          0.166
        150.000         -0.069          0.019          0.000          0.000         -0.036          0.133
        180.000         -0.039          0.021          0.000          0.000         -0.025          0.111
        200.000         -0.032          0.023          0.000          0.000         -0.020          0.100
        220.000         -0.026          0.023          0.000          0.000         -0.017          0.091
        260.000         -0.023          0.021          0.000          0.000         -0.012          0.039
        300.000         -0.017          0.018          0.000          0.000         -0.009          0.034
        395.400         -0.009          0.012          0.000          0.000         -0.005          0.025
        452.200         -0.008          0.012          0.000          0.000         -0.004          0.022
        500.400         -0.008          0.011          0.000          0.000         -0.003          0.020
        525.000         -0.007          0.007          0.000          0.000         -0.003          0.019
        573.000         -0.007          0.006          0.000          0.000         -0.002          0.018
        637.600         -0.007          0.005          0.000          0.000         -0.002          0.016
        705.000         -0.006          0.005          0.000          0.000         -0.002          0.014
        776.500         -0.005          0.004          0.000          0.000         -0.001          0.013
        851.700         -0.005          0.003          0.000          0.000         -0.001          0.012
        929.600         -0.004          0.002          0.000          0.000         -0.001          0.011
       1012.000         -0.004          0.002          0.000          0.000         -0.001          0.010
       1188.000         -0.003          0.001          0.000          0.000         -0.001          0.008
       1254.000         -0.002          0.001          0.000          0.000         -0.001          0.008
       1487.000         -0.002          0.001          0.000          0.000         -0.000          0.007
       1550.000         -0.002          0.001          0.000          0.000         -0.000          0.006
       1772.000         -0.001          0.000          0.000          0.000         -0.000          0.006
       2067.000         -0.001          0.000          0.000          0.000         -0.000          0.005
       2480.000         -0.001          0.000          0.000          0.000         -0.000          0.004
       3100.000         -0.000          0.000          0.000          0.000         -0.000          0.003
       3543.000         -0.000          0.000          0.000          0.000         -0.000          0.003
       4134.000         -0.000          0.000          0.000          0.000         -0.000          0.002
       4960.000         -0.000          0.000          0.000          0.000         -0.000          0.002
       6200.000         -0.000          0.000          0.000          0.000         -0.000          0.002
       7086.000         -0.000          0.000          0.000          0.000         -0.000          0.001
       8267.000         -0.000          0.000          0.000          0.000         -0.000          0.000
       8552.000         -0.000          0.000          0.000          0.000         -0.000          0.000
       9186.000         -0.000          0.000          0.000          0.000         -0.000          0.000
       9920.000         -0.000          0.000          0.000          0.000         -0.000          0.000
