      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm    Marachevsky          Drude
          0.222      -1169.017      -1637.689      -1208.964      -1141.347      -1624.996
          0.224      -1149.939      -1609.876      -1189.517      -1123.086      -1597.818
          0.226      -1131.306      -1582.763      -1170.528      -1105.251      -1571.312
          0.228      -1113.106      -1556.325      -1151.984      -1087.828      -1545.458
          0.230      -1094.402      -1529.202      -1132.928      -1069.920      -1518.923
          0.232      -1077.049      -1504.084      -1115.254      -1053.305      -1494.341
          0.233      -1060.091      -1479.577      -1097.984      -1037.066      -1470.348
          0.235      -1043.516      -1455.660      -1081.107      -1021.192      -1446.926
          0.237      -1027.312      -1432.317      -1064.611      -1005.672      -1424.057
          0.239      -1011.469      -1409.527      -1048.484       -990.497      -1401.723
          0.241       -995.977      -1387.275      -1032.716       -975.655      -1379.909
          0.243       -980.825      -1365.542      -1017.297       -961.139      -1358.599
          0.245       -965.233      -1343.210      -1001.431       -946.198      -1336.693
          0.247       -950.749      -1322.496       -986.696       -932.319      -1316.368
          0.249       -936.579      -1302.254       -972.279       -918.737      -1296.501
          0.251       -922.711      -1282.471       -958.172       -905.444      -1277.079
          0.253       -909.138      -1263.133       -944.367       -892.432      -1258.089
          0.254       -895.853      -1244.227       -930.854       -879.694      -1239.517
          0.256       -882.847      -1225.739       -917.626       -867.221      -1221.352
          0.258       -869.449      -1206.718       -904.000       -854.372      -1202.658
          0.260       -856.993      -1189.052       -891.332       -842.422      -1185.291
          0.262       -844.793      -1171.769       -878.925       -830.717      -1168.297
          0.264       -832.844      -1154.858       -866.773       -819.250      -1151.664
          0.266       -821.139      -1138.308       -854.869       -808.015      -1135.383
          0.268       -809.671      -1122.110       -843.205       -797.005      -1119.443
          0.270       -798.435      -1106.252       -831.776       -786.215      -1103.835
          0.272       -787.424      -1090.726       -820.575       -775.639      -1088.551
          0.274       -776.071      -1074.731       -809.026       -764.731      -1072.801
          0.276       -765.505      -1059.857       -798.275       -754.577      -1058.152
          0.277       -755.148      -1045.288       -787.736       -744.620      -1043.801
          0.279       -744.995      -1031.015       -777.402       -734.856      -1029.738
          0.281       -735.040      -1017.030       -767.268       -725.279      -1015.956
          0.283       -725.279      -1003.326       -757.329       -715.886      -1002.449
          0.285       -715.707       -989.896       -747.580       -706.670       -989.208
          0.287       -706.319       -976.731       -738.017       -697.629       -976.227
          0.289       -696.632       -963.153       -728.145       -688.295       -962.836
          0.291       -687.610       -950.512       -718.948       -679.597       -950.367
          0.293       -678.759       -938.117       -709.922       -671.061       -938.138
          0.295       -670.076       -925.961       -701.064       -662.682       -926.143
          0.296       -661.557       -914.038       -692.369       -654.456       -914.376
          0.298       -653.199       -902.342       -683.833       -646.380       -902.831
          0.300       -644.997       -890.867       -675.453       -638.450       -891.502
          0.302       -636.528       -879.021       -666.796       -630.258       -879.805
          0.304       -628.637       -867.983       -658.724       -622.617       -868.905
          0.306       -620.892       -857.150       -650.797       -615.113       -858.205
          0.308       -613.290       -846.517       -643.010       -607.742       -847.701
          0.310       -605.829       -836.079       -635.362       -600.500       -837.388
          0.312       -598.504       -825.831       -627.848       -593.385       -827.261
          0.314       -591.314       -815.769       -620.465       -586.394       -817.317
          0.316       -584.256       -805.888       -613.211       -579.523       -807.550
          0.318       -576.965       -795.677       -605.711       -572.419       -797.456
          0.320       -570.168       -786.155       -598.712       -565.789       -788.041
          0.321       -563.495       -776.801       -591.832       -559.271       -778.791
          0.323       -556.943       -767.611       -585.069       -552.864       -769.703
          0.325       -550.509       -758.582       -578.421       -546.564       -760.772
          0.327       -544.191       -749.709       -571.885       -540.370       -751.995
          0.329       -537.988       -740.990       -565.458       -534.279       -743.369
          0.331       -531.579       -731.974       -558.808       -527.977       -734.448
          0.333       -525.602       -723.559       -552.599       -522.091       -726.120
          0.335       -519.733       -715.286       -546.491       -516.301       -717.933
          0.337       -513.970       -707.154       -540.484       -510.606       -709.882
          0.339       -508.309       -699.157       -534.574       -505.003       -701.967
          0.341       -502.750       -691.294       -528.760       -499.490       -694.182
          0.342       -497.290       -683.562       -523.040       -494.066       -686.526
          0.344       -491.928       -675.957       -517.412       -488.728       -678.995
          0.346       -486.387       -668.087       -511.584       -483.201       -671.201
          0.348       -481.219       -660.736       -506.138       -478.036       -663.920
          0.350       -476.143       -653.504       -500.778       -472.952       -656.756
          0.352       -471.157       -646.389       -495.502       -467.947       -649.707
          0.354       -466.260       -639.388       -490.308       -463.020       -642.771
          0.356       -461.449       -632.499       -485.195       -458.169       -635.944
          0.358       -456.723       -625.719       -480.161       -453.393       -629.226
          0.360       -452.080       -619.047       -475.205       -448.691       -622.613
          0.362       -447.281       -612.137       -470.070       -443.818       -615.764
          0.363       -442.804       -605.677       -465.268       -439.261       -609.361
