      freq (eV)    K-K (Drude)          Drude    Marachevsky     Gen_plasma      Bren_Borm         Lor-Dr
          4.701          8.505          4.647          6.810          7.775          5.387          6.613
          4.801          8.292          4.497          6.658          7.578          5.249          6.436
          4.901          8.090          4.356          6.514          7.392          5.117          6.268
          5.000          7.900          4.225          6.379          7.217          4.994          6.110
          5.101          7.716          4.098          6.247          7.047          4.875          5.957
          5.202          7.541          3.980          6.122          6.885          4.762          5.811
          5.302          7.376          3.868          6.003          6.732          4.656          5.674
          5.401          7.220          3.764          5.891          6.588          4.556          5.544
          5.502          7.068          3.664          5.782          6.448          4.459          5.418
          5.601          6.926          3.571          5.680          6.316          4.368          5.300
          5.701          6.789          3.482          5.580          6.189          4.280          5.186
          5.800          6.659          3.398          5.486          6.069          4.197          5.077
          5.902          6.531          3.316          5.393          5.950          4.116          4.971
          6.002          6.410          3.240          5.306          5.838          4.039          4.871
          6.200          6.185          3.099          5.142          5.630          3.898          4.684
          6.359          6.017          2.996          5.019          5.474          3.792          4.545
          6.527          5.851          2.894          4.897          5.319          3.688          4.407
          6.703          5.687          2.796          4.777          5.167          3.585          4.272
          6.889          5.525          2.701          4.658          5.016          3.485          4.138
          7.086          5.365          2.608          4.540          4.867          3.386          4.006
          7.294          5.207          2.517          4.423          4.720          3.288          3.877
          7.516          5.050          2.429          4.306          4.573          3.192          3.748
          7.750          4.895          2.344          4.191          4.430          3.098          3.622
          8.000          4.743          2.262          4.077          4.287          3.006          3.498
          8.267          4.591          2.182          3.964          4.146          2.915          3.376
          8.552          4.442          2.104          3.852          4.007          2.826          3.255
          8.858          4.294          2.030          3.740          3.869          2.738          3.137
          8.921          4.265          2.015          3.719          3.842          2.721          3.114
          8.986          4.236          2.000          3.696          3.814          2.704          3.090
          9.052          4.207          1.986          3.674          3.787          2.687          3.067
          9.118          4.178          1.972          3.652          3.760          2.670          3.044
          9.186          4.149          1.957          3.630          3.733          2.653          3.020
          9.254          4.120          1.943          3.609          3.706          2.636          2.998
          9.324          4.091          1.929          3.586          3.679          2.619          2.974
          9.394          4.063          1.916          3.565          3.652          2.602          2.952
          9.466          4.034          1.902          3.543          3.625          2.586          2.929
          9.539          4.005          1.888          3.521          3.598          2.569          2.906
          9.613          3.976          1.874          3.499          3.571          2.552          2.884
          9.688          3.948          1.861          3.478          3.545          2.536          2.861
          9.764          3.919          1.848          3.456          3.518          2.519          2.839
          9.842          3.891          1.834          3.434          3.492          2.503          2.816
          9.920          3.863          1.821          3.413          3.465          2.487          2.794
         10.000          3.835          1.808          3.391          3.439          2.471          2.772
         10.080          3.807          1.795          3.370          3.413          2.455          2.750
         10.160          3.780          1.783          3.350          3.388          2.439          2.729
         10.250          3.750          1.769          3.327          3.360          2.422          2.705
         10.330          3.723          1.757          3.307          3.335          2.407          2.685
         10.420          3.694          1.744          3.284          3.308          2.390          2.662
         10.510          3.666          1.732          3.263          3.281          2.374          2.640
         10.600          3.638          1.719          3.241          3.255          2.359          2.618
         10.690          3.611          1.707          3.220          3.230          2.343          2.597
         10.780          3.584          1.695          3.200          3.205          2.328          2.576
         10.880          3.555          1.683          3.177          3.178          2.312          2.554
         10.970          3.529          1.672          3.158          3.154          2.297          2.534
         11.070          3.501          1.660          3.136          3.127          2.281          2.512
         11.170          3.474          1.648          3.115          3.102          2.266          2.491
         11.270          3.447          1.636          3.094          3.077          2.251          2.471
         11.380          3.418          1.624          3.072          3.050          2.235          2.448
         11.480          3.392          1.613          3.052          3.025          2.220          2.429
         11.590          3.364          1.602          3.031          2.999          2.205          2.407
         11.700          3.337          1.591          3.010          2.974          2.190          2.386
         11.810          3.310          1.580          2.989          2.949          2.175          2.366
         11.920          3.284          1.569          2.969          2.925          2.161          2.346
         12.040          3.256          1.558          2.947          2.899          2.146          2.325
         12.160          3.229          1.547          2.926          2.873          2.131          2.305
         12.280          3.202          1.536          2.906          2.848          2.116          2.284
         12.400          3.176          1.526          2.886          2.824          2.102          2.265
         12.530          3.149          1.515          2.864          2.798          2.087          2.244
         12.650          3.124          1.505          2.845          2.775          2.073          2.225
         12.780          3.097          1.495          2.824          2.751          2.059          2.206
         12.920          3.070          1.484          2.803          2.725          2.044          2.185
         13.050          3.044          1.475          2.783          2.701          2.030          2.166
         13.190          3.018          1.465          2.762          2.676          2.016          2.146
         13.330          2.992          1.455          2.742          2.652          2.002          2.127
         13.480          2.965          1.445          2.721          2.627          1.987          2.107
         13.630          2.938          1.435          2.701          2.602          1.973          2.088
         13.780          2.912          1.426          2.681          2.578          1.960          2.069
         13.930          2.887          1.417          2.661          2.555          1.946          2.050
         14.090          2.861          1.407          2.640          2.531          1.932          2.031
         14.250          2.835          1.398          2.620          2.507          1.919          2.012
         14.420          2.809          1.389          2.600          2.482          1.905          1.993
         14.590          2.783          1.380          2.580          2.458          1.891          1.974
         14.760          2.758          1.371          2.560          2.435          1.878          1.956
         14.940          2.732          1.362          2.540          2.411          1.864          1.938
         15.120          2.707          1.354          2.520          2.388          1.851          1.919
         15.310          2.681          1.345          2.500          2.364          1.837          1.901
         15.500          2.655          1.337          2.480          2.340          1.824          1.883
         15.700          2.630          1.328          2.459          2.316          1.811          1.864
         15.900          2.604          1.320          2.440          2.293          1.798          1.847
         16.100          2.580          1.312          2.420          2.270          1.785          1.829
         16.320          2.554          1.304          2.400          2.246          1.771          1.811
         16.530          2.529          1.296          2.381          2.224          1.759          1.794
         16.760          2.504          1.288          2.360          2.200          1.746          1.776
         16.990          2.478          1.280          2.341          2.177          1.733          1.759
         17.220          2.454          1.273          2.322          2.155          1.720          1.742
         17.470          2.428          1.265          2.301          2.131          1.707          1.724
         17.720          2.403          1.258          2.282          2.108          1.694          1.707
         17.970          2.379          1.251          2.263          2.086          1.682          1.691
         18.240          2.354          1.243          2.243          2.063          1.669          1.674
         18.510          2.329          1.236          2.223          2.041          1.656          1.657
         18.790          2.305          1.229          2.204          2.018          1.644          1.641
         19.080          2.280          1.222          2.184          1.996          1.631          1.624
         19.380          2.255          1.215          2.165          1.974          1.619          1.608
         19.680          2.232          1.209          2.146          1.952          1.607          1.592
         20.000          2.207          1.202          2.127          1.930          1.594          1.576
         20.330          2.182          1.196          2.107          1.908          1.582          1.560
         20.670          2.158          1.189          2.088          1.886          1.569          1.545
         21.020          2.134          1.183          2.069          1.864          1.557          1.529
         21.380          2.110          1.177          2.050          1.842          1.545          1.514
         21.760          2.085          1.171          2.030          1.820          1.533          1.498
         22.140          2.062          1.165          2.011          1.799          1.521          1.484
         22.550          2.038          1.159          1.992          1.778          1.508          1.468
         22.960          2.014          1.153          1.973          1.757          1.496          1.454
         23.400          1.990          1.148          1.954          1.735          1.484          1.439
         23.850          1.966          1.142          1.935          1.714          1.472          1.425
         24.310          1.943          1.137          1.916          1.694          1.460          1.411
         24.800          1.919          1.132          1.897          1.673          1.448          1.396
         25.310          1.895          1.126          1.878          1.652          1.436          1.382
         25.830          1.872          1.121          1.860          1.632          1.424          1.369
         26.010          1.864          1.120          1.854          1.625          1.420          1.364
         26.380          1.848          1.116          1.841          1.611          1.412          1.355
         27.000          1.823          1.111          1.821          1.590          1.399          1.341
         28.000          1.785          1.103          1.790          1.557          1.380          1.319
         29.010          1.749          1.096          1.761          1.526          1.362          1.299
         29.500          1.733          1.093          1.748          1.512          1.353          1.290
         30.000          1.717          1.090          1.735          1.499          1.345          1.282
         30.510          1.701          1.087          1.722          1.486          1.337          1.273
         31.010          1.686          1.084          1.710          1.473          1.329          1.265
         32.010          1.658          1.079          1.687          1.449          1.314          1.250
         33.010          1.631          1.074          1.665          1.427          1.301          1.237
         34.010          1.607          1.070          1.645          1.407          1.288          1.224
         35.010          1.583          1.066          1.626          1.388          1.276          1.212
         36.010          1.561          1.062          1.608          1.370          1.264          1.201
         37.010          1.541          1.059          1.591          1.354          1.254          1.191
         38.000          1.522          1.056          1.575          1.338          1.244          1.182
         39.010          1.503          1.053          1.560          1.324          1.234          1.173
         40.010          1.486          1.051          1.545          1.310          1.225          1.165
         41.010          1.470          1.048          1.531          1.297          1.216          1.158
         42.010          1.454          1.046          1.518          1.285          1.208          1.151
         43.010          1.439          1.044          1.506          1.274          1.201          1.144
         44.000          1.426          1.042          1.494          1.263          1.194          1.138
         45.010          1.412          1.040          1.483          1.253          1.187          1.132
         46.010          1.400          1.038          1.472          1.244          1.180          1.127
         47.010          1.388          1.037          1.462          1.235          1.174          1.122
         48.010          1.376          1.035          1.452          1.226          1.168          1.117
         49.010          1.365          1.034          1.442          1.218          1.162          1.113
         50.000          1.355          1.032          1.433          1.211          1.157          1.108
         52.020          1.335          1.030          1.416          1.196          1.147          1.101
         54.010          1.318          1.028          1.400          1.184          1.138          1.094
         56.010          1.301          1.026          1.386          1.172          1.130          1.087
         58.000          1.286          1.024          1.372          1.162          1.122          1.082
         60.020          1.272          1.022          1.359          1.152          1.115          1.076
         62.000          1.260          1.021          1.347          1.143          1.109          1.072
         64.020          1.248          1.020          1.336          1.135          1.103          1.067
         66.030          1.237          1.019          1.326          1.128          1.097          1.063
         68.020          1.226          1.018          1.316          1.121          1.092          1.060
         70.020          1.217          1.017          1.307          1.115          1.087          1.057
         72.010          1.208          1.016          1.298          1.109          1.083          1.054
         74.030          1.199          1.015          1.290          1.104          1.079          1.051
         76.030          1.192          1.014          1.282          1.099          1.075          1.048
         78.040          1.184          1.013          1.275          1.094          1.072          1.046
         80.000          1.177          1.013          1.268          1.090          1.069          1.044
         82.010          1.171          1.012          1.261          1.086          1.066          1.042
         83.000          1.168          1.012          1.258          1.084          1.064          1.041
         83.510          1.166          1.012          1.256          1.083          1.063          1.040
         84.010          1.165          1.011          1.255          1.082          1.063          1.040
         84.530          1.163          1.011          1.253          1.081          1.062          1.039
         84.990          1.162          1.011          1.252          1.080          1.061          1.039
         86.000          1.159          1.011          1.249          1.078          1.060          1.038
         87.020          1.156          1.011          1.246          1.077          1.059          1.037
         87.510          1.155          1.011          1.244          1.076          1.058          1.037
         88.010          1.153          1.010          1.243          1.075          1.057          1.036
        100.000          1.126          1.008          1.214          1.059          1.045          1.028
        105.000          1.117          1.007          1.203          1.054          1.041          1.026
        110.000          1.109          1.007          1.194          1.049          1.038          1.023
        120.000          1.095          1.006          1.177          1.042          1.032          1.020
        150.000          1.067          1.004          1.142          1.027          1.021          1.013
        180.000          1.051          1.002          1.118          1.019          1.014          1.009
        200.000          1.043          1.002          1.106          1.015          1.012          1.007
        220.000          1.037          1.002          1.096          1.013          1.010          1.006
        260.000          1.029          1.001          1.081          1.009          1.007          1.004
        300.000          1.023          1.001          1.070          1.007          1.005          1.003
        395.400          1.015          1.001          1.053          1.004          1.003          1.002
        452.200          1.012          1.000          1.047          1.003          1.002          1.001
        500.400          1.010          1.000          1.042          1.003          1.002          1.001
        525.000          1.010          1.000          1.040          1.002          1.002          1.001
        573.000          1.008          1.000          1.037          1.002          1.001          1.001
        637.600          1.007          1.000          1.033          1.002          1.001          1.001
        705.000          1.006          1.000          1.030          1.001          1.001          1.001
        776.500          1.005          1.000          1.027          1.001          1.001          1.000
        851.700          1.004          1.000          1.025          1.001          1.001          1.000
        929.600          1.004          1.000          1.023          1.001          1.001          1.000
       1012.000          1.003          1.000          1.021          1.001          1.000          1.000
       1188.000          1.003          1.000          1.018          1.000          1.000          1.000
       1254.000          1.002          1.000          1.017          1.000          1.000          1.000
       1487.000          1.002          1.000          1.014          1.000          1.000          1.000
       1550.000          1.002          1.000          1.014          1.000          1.000          1.000
       1772.000          1.001          1.000          1.012          1.000          1.000          1.000
       2067.000          1.001          1.000          1.010          1.000          1.000          1.000
       2480.000          1.001          1.000          1.008          1.000          1.000          1.000
       3100.000          1.000          1.000          1.007          1.000          1.000          1.000
       3543.000          1.000          1.000          1.006          1.000          1.000          1.000
       4134.000          1.000          1.000          1.005          1.000          1.000          1.000
       4960.000          1.000          1.000          1.004          1.000          1.000          1.000
       6200.000          1.000          1.000          1.003          1.000          1.000          1.000
       7086.000          1.000          1.000          1.003          1.000          1.000          1.000
       8267.000          1.000          1.000          1.003          1.000          1.000          1.000
       8552.000          1.000          1.000          1.002          1.000          1.000          1.000
       9186.000          1.000          1.000          1.002          1.000          1.000          1.000
       9920.000          1.000          1.000          1.002          1.000          1.000          1.000
