      freq (eV)    K-K (Drude)          Drude    Marachevsky     Gen_plasma      Bren_Borm         Lor-Dr
          0.220       1618.415       1509.942       1011.238       1680.741       1074.311       1059.986
          0.222       1592.791       1485.462        995.870       1652.203       1057.768       1044.002
          0.224       1567.777       1461.574        980.855       1624.389       1041.607       1028.385
          0.226       1543.353       1438.259        966.181       1597.274       1025.817       1013.124
          0.228       1519.501       1415.497        951.838       1570.835       1010.387        998.206
          0.230       1494.991       1392.118        937.087       1543.711        994.521        982.864
          0.232       1472.257       1370.440        923.393       1518.592        979.794        968.622
          0.233       1450.043       1349.266        910.001       1494.084        965.395        954.694
          0.235       1428.333       1328.580        896.902       1470.166        951.315        941.070
          0.237       1407.111       1308.366        884.087       1446.822        937.542        927.742
          0.239       1386.364       1288.611        871.549       1424.031        924.069        914.701
          0.241       1366.076       1269.300        859.279       1401.777        910.887        901.940
          0.243       1346.235       1250.421        847.270       1380.044        897.988        889.450
          0.245       1325.817       1231.001        834.903       1357.711        884.705        876.586
          0.247       1306.851       1212.968        823.406       1336.995        872.361        864.629
          0.249       1288.294       1195.329        812.148       1316.753        860.275        852.919
          0.251       1270.133       1178.073        801.123       1296.969        848.441        841.452
          0.253       1252.357       1161.188        790.324       1277.630        836.852        830.219
          0.254       1234.955       1144.665        779.745       1258.722        825.500        819.215
          0.256       1217.917       1128.492        769.380       1240.234        814.380        808.433
          0.258       1200.364       1111.835        758.694       1221.211        802.918        797.317
          0.260       1184.041       1096.352        748.750       1203.545        792.253        786.973
          0.262       1168.053       1081.190        739.003       1186.261        781.802        776.834
          0.264       1152.389       1066.341        729.448       1169.349        771.557        766.893
          0.266       1137.042       1051.796        720.079       1152.798        761.515        757.147
          0.268       1122.002       1037.547        710.893       1136.598        751.669        747.590
          0.270       1107.261       1023.587        701.883       1120.739        742.015        738.217
          0.272       1092.812       1009.906        693.047       1105.212        732.547        729.023
          0.274       1077.909        995.801        683.926       1089.216        722.777        719.534
          0.276       1064.035        982.672        675.430       1074.341        713.677        710.694
          0.277       1050.429        969.803        667.094       1059.771        704.749        702.020
          0.279       1037.086        957.184        658.914       1045.497        695.989        693.508
          0.281       1023.998        944.811        650.885       1031.512        687.393        685.153
          0.283       1011.159        932.677        643.004       1017.807        678.957        676.952
          0.285        998.562        920.775        635.267       1004.375        670.677        668.901
          0.287        986.201        909.100        627.672        991.209        662.548        660.996
          0.289        973.439        897.049        619.825        977.630        654.152        652.830
          0.291        961.546        885.822        612.508        964.988        646.324        645.214
          0.293        949.871        874.804        605.322        952.592        638.637        637.735
          0.295        938.410        863.991        598.264        940.435        631.088        630.387
          0.296        927.158        853.378        591.330        928.511        623.673        623.170
          0.298        916.109        842.959        584.518        916.813        616.389        616.078
          0.300        905.258        832.731        577.825        905.337        609.233        609.111
          0.302        894.045        822.164        570.904        893.491        601.835        601.906
          0.304        883.587        812.311        564.447        882.452        594.933        595.183
          0.306        873.314        802.634        558.100        871.618        588.150        588.574
          0.308        863.221        793.130        551.861        860.984        581.483        582.078
          0.310        853.303        783.793        545.728        850.544        574.931        575.692
          0.312        843.558        774.621        539.698        840.296        568.489        569.413
          0.314        833.980        765.609        533.769        830.232        562.156        563.238
          0.316        824.566        756.754        527.939        820.350        555.929        557.167
          0.318        814.830        747.598        521.907        810.139        549.487        550.883
          0.320        805.742        739.053        516.273        800.615        543.472        545.015
          0.321        796.806        730.654        510.731        791.260        537.555        539.242
          0.323        788.020        722.397        505.279        782.069        531.735        533.563
          0.325        779.381        714.280        499.916        773.039        526.011        527.976
          0.327        770.884        706.300        494.639        764.166        520.379        522.479
          0.329        762.527        698.452        489.447        755.446        514.838        517.069
          0.331        753.878        690.332        484.071        746.428        509.102        511.467
          0.333        745.798        682.749        479.047        738.012        503.742        506.231
          0.335        737.850        675.291        474.101        729.739        498.466        501.078
          0.337        730.029        667.954        469.234        721.605        493.274        496.005
          0.339        722.333        660.736        464.442        713.607        488.164        491.011
          0.341        714.760        653.635        459.725        705.744        483.133        486.094
          0.342        707.307        646.648        455.080        698.010        478.181        481.253
          0.344        699.972        639.773        450.507        690.405        473.305        476.485
          0.346        692.374        632.653        445.769        682.534        468.254        471.545
          0.348        685.272        626.000        441.337        675.181        463.530        466.925
          0.350        678.280        619.451        436.973        667.948        458.878        462.375
          0.352        671.396        613.004        432.674        660.832        454.297        457.892
          0.354        664.617        606.658        428.439        653.830        449.785        453.476
