      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm    Marachevsky          Drude
         16.530          1.276          1.394          0.005          1.288          0.000
         16.760          1.129          1.402          0.005          1.270          0.000
         16.990          1.005          1.415          0.005          1.252          0.000
         17.220          0.900          1.432          0.005          1.235          0.000
         17.470          0.803          1.456          0.005          1.217          0.000
         17.720          0.720          1.483          0.005          1.200          0.000
         17.970          0.650          1.515          0.005          1.183          0.000
         18.240          0.584          1.553          0.005          1.165          0.000
         18.510          0.528          1.594          0.005          1.147          0.000
         18.790          0.478          1.638          0.005          1.130          0.000
         19.080          0.433          1.683          0.005          1.112          0.000
         19.380          0.393          1.728          0.006          1.095          0.000
         19.680          0.358          1.769          0.006          1.078          0.000
         20.000          0.325          1.805          0.006          1.060          0.000
         20.330          0.296          1.831          0.007          1.043          0.000
         20.670          0.270          1.843          0.008          1.026          0.000
         21.020          0.246          1.839          0.009          1.008          0.000
         21.380          0.225          1.815          0.011          0.991          0.000
         21.760          0.205          1.769          0.015          0.973          0.000
         22.140          0.188          1.705          0.022          0.956          0.000
         22.550          0.171          1.620          0.035          0.939          0.000
         22.960          0.157          1.522          0.057          0.922          0.000
         23.400          0.143          1.411          0.096          0.904          0.000
         23.850          0.131          1.295          0.160          0.887          0.000
         24.310          0.120          1.180          0.260          0.870          0.000
         24.800          0.110          1.065          0.412          0.853          0.000
         25.310          0.101          0.954          0.623          0.835          0.000
         25.830          0.092          0.854          0.883          0.818          0.000
         26.010          0.089          0.821          0.978          0.813          0.000
         26.380          0.084          0.759          1.172          0.801          0.000
         27.000          0.076          0.667          1.451          0.783          0.000
         28.000          0.066          0.546          1.612          0.754          0.000
         29.010          0.057          0.451          1.326          0.728          0.000
         29.500          0.054          0.413          1.082          0.716          0.000
         30.000          0.050          0.378          0.819          0.704          0.000
         30.510          0.047          0.347          0.572          0.692          0.000
         31.010          0.044          0.320          0.376          0.681          0.000
         32.010          0.039          0.274          0.135          0.659          0.000
         33.010          0.035          0.236          0.041          0.639          0.000
         34.010          0.031          0.206          0.013          0.620          0.000
         35.010          0.028          0.181          0.006          0.602          0.000
         36.010          0.026          0.159          0.004          0.586          0.000
         37.010          0.023          0.142          0.003          0.570          0.000
         38.000          0.021          0.127          0.003          0.555          0.000
         39.010          0.019          0.114          0.002          0.540          0.000
         40.010          0.018          0.103          0.002          0.527          0.000
         41.010          0.016          0.093          0.001          0.514          0.000
         42.010          0.015          0.085          0.001          0.502          0.000
         43.010          0.014          0.077          0.001          0.490          0.000
         44.000          0.013          0.071          0.001          0.479          0.000
         45.010          0.012          0.065          0.001          0.468          0.000
         46.010          0.011          0.060          0.001          0.458          0.000
         47.010          0.010          0.055          0.001          0.448          0.000
         48.010          0.010          0.051          0.001          0.439          0.000
         49.010          0.009          0.047          0.001          0.430          0.000
         50.000          0.008          0.044          0.001          0.421          0.000
         52.020          0.007          0.038          0.000          0.405          0.000
         54.010          0.007          0.034          0.000          0.390          0.000
         56.010          0.006          0.030          0.000          0.376          0.000
         58.000          0.005          0.026          0.000          0.363          0.000
         60.020          0.005          0.023          0.000          0.351          0.000
         62.000          0.004          0.021          0.000          0.340          0.000
         64.020          0.004          0.019          0.000          0.329          0.000
         66.030          0.003          0.017          0.000          0.319          0.000
         68.020          0.003          0.015          0.000          0.309          0.000
         70.020          0.003          0.014          0.000          0.301          0.000
         72.010          0.003          0.013          0.000          0.292          0.000
         74.030          0.002          0.012          0.000          0.284          0.000
         76.030          0.002          0.011          0.000          0.277          0.000
         78.040          0.002          0.010          0.000          0.270          0.000
         80.000          0.002          0.009          0.000          0.263          0.000
         82.010          0.002          0.008          0.000          0.257          0.000
         83.000          0.002          0.008          0.000          0.254          0.000
         83.510          0.002          0.008          0.000          0.252          0.000
         84.010          0.002          0.008          0.000          0.250          0.000
         84.530          0.002          0.008          0.000          0.249          0.000
         84.990          0.002          0.007          0.000          0.248          0.000
         86.000          0.002          0.007          0.000          0.245          0.000
         87.020          0.001          0.007          0.000          0.242          0.000
         87.510          0.001          0.007          0.000          0.240          0.000
         88.010          0.001          0.007          0.000          0.239          0.000
        100.000          0.001          0.004          0.000          0.210          0.000
        105.000          0.001          0.004          0.000          0.200          0.000
        110.000          0.001          0.003          0.000          0.191          0.000
        120.000          0.001          0.003          0.000          0.175          0.000
        150.000          0.000          0.001          0.000          0.140          0.000
        180.000          0.000          0.001          0.000          0.117          0.000
        200.000          0.000          0.001          0.000          0.105          0.000
        220.000          0.000          0.000          0.000          0.096          0.000
        260.000          0.000          0.000          0.000          0.081          0.000
        300.000          0.000          0.000          0.000          0.070          0.000
        395.400          0.000          0.000          0.000          0.053          0.000
        452.200          0.000          0.000          0.000          0.047          0.000
        500.400          0.000          0.000          0.000          0.042          0.000
        525.000          0.000          0.000          0.000          0.040          0.000
        573.000          0.000          0.000          0.000          0.037          0.000
        637.600          0.000          0.000          0.000          0.033          0.000
        705.000          0.000          0.000          0.000          0.030          0.000
        776.500          0.000          0.000          0.000          0.027          0.000
        851.700          0.000          0.000          0.000          0.025          0.000
        929.600          0.000          0.000          0.000          0.023          0.000
       1012.000          0.000          0.000          0.000          0.021          0.000
       1188.000          0.000          0.000          0.000          0.018          0.000
       1254.000          0.000          0.000          0.000          0.017          0.000
       1487.000          0.000          0.000          0.000          0.014          0.000
       1550.000          0.000          0.000          0.000          0.014          0.000
       1772.000          0.000          0.000          0.000          0.012          0.000
       2067.000          0.000          0.000          0.000          0.010          0.000
       2480.000          0.000          0.000          0.000          0.008          0.000
       3100.000          0.000          0.000          0.000          0.007          0.000
       3543.000          0.000          0.000          0.000          0.006          0.000
       4134.000          0.000          0.000          0.000          0.005          0.000
       4960.000          0.000          0.000          0.000          0.004          0.000
       6200.000          0.000          0.000          0.000          0.003          0.000
       7086.000          0.000          0.000          0.000          0.003          0.000
       8267.000          0.000          0.000          0.000          0.003          0.000
       8552.000          0.000          0.000          0.000          0.002          0.000
       9186.000          0.000          0.000          0.000          0.002          0.000
       9920.000          0.000          0.000          0.000          0.002          0.000
