      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm    Marachevsky          Drude
          0.276        161.202          0.153        168.892        164.826         92.267
          0.277        158.352          0.154        165.817        161.732         90.394
          0.279        155.584          0.155        162.820        158.718         88.570
          0.281        152.895          0.156        159.900        155.780         86.796
          0.283        150.283          0.157        157.053        152.917         85.068
          0.285        147.745          0.158        154.277        150.127         83.386
          0.287        145.279          0.159        151.570        147.407         81.748
          0.289        142.759          0.160        148.793        144.616         80.069
          0.291        140.434          0.162        146.221        142.033         78.517
          0.293        138.174          0.163        143.712        139.513         77.005
          0.295        135.978          0.164        141.263        137.055         75.531
          0.296        133.843          0.165        138.873        134.656         74.094
          0.298        131.768          0.166        136.540        132.315         72.694
          0.300        129.751          0.167        134.263        130.031         71.329
          0.302        127.689          0.168        131.924        127.685         69.928
          0.304        125.785          0.169        129.754        125.511         68.632
          0.306        123.933          0.170        127.636        123.388         67.367
          0.308        122.133          0.171        125.566        121.314         66.133
          0.310        120.382          0.172        123.544        119.289         64.928
          0.312        118.680          0.173        121.568        117.311         63.753
          0.314        117.023          0.174        119.636        115.378         62.606
          0.316        115.412          0.176        117.748        113.489         61.487
          0.318        113.763          0.177        115.807        111.548         60.337
          0.320        112.240          0.178        114.005        109.746         59.271
          0.321        110.757          0.179        112.242        107.984         58.230
          0.323        109.314          0.180        110.518        106.262         57.213
          0.325        107.909          0.181        108.832        104.578         56.219
          0.327        106.541          0.182        107.183        102.931         55.249
          0.329        105.209          0.183        105.569        101.320         54.300
          0.331        103.844          0.184        103.907         99.663         53.326
          0.333        102.581          0.185        102.363         98.123         52.421
          0.335        101.350          0.186        100.852         96.617         51.536
          0.337        100.150          0.187         99.372         95.142         50.672
          0.339         98.979          0.189         97.924         93.700         49.826
          0.341         97.837          0.190         96.506         92.287         49.000
          0.342         96.723          0.191         95.117         90.905         48.191
          0.344         95.634          0.192         93.756         89.551         47.400
          0.346         94.516          0.193         92.354         88.157         46.586
          0.348         93.478          0.194         91.050         86.860         45.830
          0.350         92.463          0.195         89.772         85.591         45.090
          0.352         91.471          0.196         88.520         84.347         44.366
          0.354         90.499          0.197         87.293         83.128         43.658
          0.356         89.547          0.198         86.090         81.935         42.964
          0.358         88.613          0.199         84.911         80.765         42.285
          0.360         87.698          0.200         83.755         79.619         41.620
          0.362         86.753          0.202         82.563         78.437         40.936
          0.363         85.872          0.203         81.453         77.337         40.299
          0.365         85.006          0.204         80.364         76.259         39.675
          0.367         84.153          0.205         79.296         75.202         39.065
          0.369         83.314          0.206         78.249         74.165         38.466
          0.371         82.488          0.207         77.222         73.149         37.880
          0.373         81.673          0.208         76.213         72.152         37.306
          0.375         80.869          0.209         75.224         71.175         36.743
          0.377         80.034          0.210         74.203         70.166         36.163
          0.379         79.249          0.211         73.251         69.226         35.623
          0.381         78.474          0.213         72.317         68.304         35.093
          0.383         77.706          0.214         71.400         67.400         34.574
          0.385         76.945          0.215         70.499         66.512         34.066
          0.386         76.191          0.216         69.615         65.641         33.567
          0.388         75.443          0.217         68.747         64.786         33.078
          0.390         74.662          0.218         67.851         63.903         32.573
          0.392         73.925          0.219         67.014         63.080         32.103
          0.394         73.193          0.220         66.193         62.272         31.642
          0.396         72.465          0.221         65.386         61.479         31.190
          0.398         71.740          0.222         64.593         60.700         30.747
          0.400         71.020          0.223         63.814         59.935         30.311
          0.402         70.302          0.225         63.049         59.183         29.884
          0.404         69.587          0.226         62.297         58.445         29.465
          0.406         68.838          0.227         61.519         57.683         29.033
          0.407         68.129          0.228         60.793         56.971         28.629
          0.409         67.422          0.229         60.080         56.272         28.233
          0.411         66.718          0.230         59.379         55.586         27.845
          0.413         66.016          0.231         58.689         54.911         27.463
          0.415         65.316          0.232         58.011         54.248         27.089
          0.417         64.618          0.233         57.345         53.596         26.721
          0.419         63.923          0.234         56.689         52.955         26.360
          0.421         63.194          0.236         56.011         52.293         25.987
          0.423         62.503          0.237         55.377         51.674         25.639
          0.425         61.815          0.238         54.754         51.066         25.297
          0.427         61.129          0.239         54.141         50.469         24.961
          0.428         60.447          0.240         53.538         49.881         24.631
          0.430         59.767          0.241         52.945         49.303         24.307
          0.432         59.090          0.242         52.361         48.734         23.989
          0.434         58.381          0.243         51.756         48.146         23.659
          0.436         57.710          0.244         51.192         47.597         23.352
          0.438         57.044          0.245         50.636         47.056         23.050
          0.440         56.381          0.247         50.088         46.525         22.753
          0.442         55.722          0.248         49.550         46.002         22.462
          0.444         55.067          0.249         49.019         45.487         22.175
          0.446         54.417          0.250         48.497         44.981         21.893
          0.448         53.771          0.251         47.983         44.483         21.616
          0.450         53.096          0.252         47.451         43.967         21.330
          0.452         52.460          0.253         46.953         43.484         21.062
          0.453         51.829          0.254         46.462         43.010         20.799
          0.455         51.204          0.255         45.979         42.543         20.540
          0.457         50.583          0.257         45.504         42.083         20.285
          0.459         49.969          0.258         45.035         41.630         20.035
          0.461         49.360          0.259         44.574         41.184         19.789
          0.463         48.757          0.260         44.119         40.745         19.546
          0.465         48.129          0.261         43.647         40.291         19.296
          0.467         47.539          0.262         43.206         39.866         19.062
          0.469         46.954          0.263         42.772         39.447         18.831
          0.471         46.377          0.264         42.343         39.034         18.604
          0.472         45.805          0.265         41.921         38.628         18.381
          0.474         45.241          0.267         41.505         38.228         18.162
          0.476         44.683          0.268         41.095         37.834         17.945
          0.478         44.131          0.269         40.691         37.446         17.733
          0.480         43.558          0.270         40.272         37.043         17.512
          0.482         43.021          0.271         39.879         36.667         17.307
          0.484         42.490          0.272         39.492         36.296         17.104
          0.486         41.966          0.273         39.111         35.930         16.904
          0.488         41.449          0.274         38.735         35.570         16.708
          0.490         40.940          0.275         38.364         35.215         16.514
          0.492         40.437          0.277         37.998         34.865         16.324
          0.493         39.940          0.278         37.637         34.520         16.136
          0.495         39.426          0.279         37.263         34.162         15.942
          0.497         38.944          0.280         36.912         33.827         15.760
          0.499         38.469          0.281         36.566         33.497         15.582
          0.501         38.001          0.282         36.225         33.171         15.405
          0.503         37.539          0.283         35.888         32.851         15.232
          0.505         37.085          0.284         35.556         32.534         15.061
          0.507         36.637          0.286         35.228         32.222         14.892
          0.509         36.172          0.287         34.888         31.898         14.718
